edrpou,date,has_practice
99900152,2020-05-21,True
99900152,2020-05-22,True
99900152,2020-05-23,True
99900152,2020-05-24,True
99900152,2020-05-25,True
99900152,2020-05-26,True
99900152,2020-05-27,True
99900152,2020-05-28,True
99900152,2020-05-29,True
99900152,2020-05-30,True
99900152,2020-05-31,True
00710206,2020-05-01,False
00710206,2020-05-02,False
00710206,2020-05-03,False
00710206,2020-05-04,False
00710206,2020-05-05,False
00710206,2020-05-06,False
00710206,2020-05-07,False
00710206,2020-05-08,False
00710206,2020-05-09,False
00710206,2020-05-10,False
00710206,2020-05-11,False
00710206,2020-05-12,False
00710206,2020-05-13,False
00710206,2020-05-14,True
00710206,2020-05-15,True
00710206,2020-05-16,True
00710206,2020-05-17,True
00710206,2020-05-18,True
00710206,2020-05-19,True
00710206,2020-05-20,True
00710206,2020-05-21,True
00710206,2020-05-22,True
00710206,2020-05-23,True
00710206,2020-05-24,True
00710206,2020-05-25,True
00710206,2020-05-26,True
00710206,2020-05-27,True
00710206,2020-05-28,True
00710206,2020-05-29,True
00710206,2020-05-30,True
00710206,2020-05-31,True
48270532,2020-05-01,False
48270532,2020-05-02,False
48270532,2020-05-03,False
48270532,2020-05-04,False
48270532,2020-05-05,False
48270532,2020-05-06,False
48270532,2020-05-07,False
48270532,2020-05-08,False
48270532,2020-05-09,False
48270532,2020-05-10,False
48270532,2020-05-11,False
48270532,2020-05-12,False
48270532,2020-05-13,False
48270532,2020-05-14,True
48270532,2020-05-15,True
48270532,2020-05-16,True
48270532,2020-05-17,True
48270532,2020-05-18,True
48270532,2020-05-19,True
48270532,2020-05-20,True
48270532,2020-05-21,True
48270532,2020-05-22,True
48270532,2020-05-23,True
48270532,2020-05-24,True
48270532,2020-05-25,True
48270532,2020-05-26,True
48270532,2020-05-27,True
48270532,2020-05-28,True
48270532,2020-05-29,True
48270532,2020-05-30,True
48270532,2020-05-31,True
00583867,2020-05-01,True
00583867,2020-05-02,True
00583867,2020-05-03,True
00583867,2020-05-04,True
00583867,2020-05-05,True
00583867,2020-05-06,True
00583867,2020-05-07,True
00583867,2020-05-08,True
00583867,2020-05-09,True
00583867,2020-05-10,True
